art,datum,detail,ort,latitude,longitude
Sturzflut 1,28.04.2009,Ergiebige Niederschläge/Schneefälle auf der Alpensüdseite,Alpensüdseite,46.53285834,8.608945434
Sturzflut 2,05.11.2008,Starkniederschläge auf der Alpensüdseite,Alpensüdseite,46.53285834,8.608945434
Sturzflut 2,07.09.2008,Starkniederschläge Nordtessin,Nordtessin,46.42453794,8.817567892
Sturzflut 1,01.09.2008,Sturzflut im Surbtal,Surbtal,47.5457982,8.2916659
Sturzflut 1,30.07.2008,Sturzflut bei Marly (FR),Marly,46.7747743,7.1601827
Sturzflut 1,30.07.2008,Sturzflut im Gebiet Kemmeriboden (BE),Kemmeriboden,46.8004689,7.9391053
Sturzflut 1,26.06.2008,Sturzflut im Maggiatal (TI),Maggia,46.2754931,8.6747843
Sturzflut 1,02.06.2008,Sturzflut in Abtwil/Waldkirch (SG),Abtwil,47.17450967,8.353862028
Sturzflut 1,30.05.2008,Sturzflut in und um Freiburg (FR),Freiburg,46.6789116,7.1027113
Sturzflut 2,22.04.2008,Starkniederschläge Deutschschweiz,Deutschschweiz,47.35127784,8.730015506
Sturzflut 2,29.08.2007,Schweres Unwetter im Seeland (u.a. Lyss (BE)),Seeland,47.0803782,7.32932206
Hochwasser,09.08.2007,Starkregen und Hochwasser in der gesamten Schweiz (u.a. Laufen (BL)),Schweiz,46.7985624,8.2319736
Sturzflut 2,20.06.2007,Schweres Unwetter im Gebiet Einsiedeln (u.a. Gross (SZ)),Einsiedeln,47.12845591,8.743185997
Sturzflut 2,08.06.2007,Schweres Unwetter am Napf (Nordseite) (u.a. Huttwil (BE)),Napf,47.0040019,7.9399419
Sturzflut 1,07.06.2007,Sturzflut im Appenzell,Appenzell,47.3299506,9.4099311
Sturzflut 1,07.06.2007,Sturzflut im Schwyzer Talkessel,Schwyz,47.0571976,8.7222073
Sturzflut 3,07.06.2007,Sturzflut in und um Studen (BE),Studen,47.1115124,7.3012333
Sturzflut 1,04.06.2007,Sturzflut in und um Schaffhausen (SH),Schaffhausen,47.6960491,8.634513
Sturzflut 1,21.05.2007,Sturzflut und Erdrutsche bei Glovelier (JU),Glovelier,47.3343698,7.2044997
Sturzflut 1,21.05.2007,Sturzflut im Mutzbach-Täli bei Riedtwil (BE),Riedtwil,47.14218307,7.694679245
Sturzflut 2,03.10.2006,Quasistationäre Gewitterlinie bringt intensiven Gewitterregen im Raum Locarnese und Misox,Locarnese,46.1690805,8.7944919
Hochwasser,18.09.2006,Starkniederschläge und Hochwasser an den zentralen und östlichen Voralpen,östliche Voralpen,47.10487133,9.238975791
Sturzflut 3,24.08.2006,Sintflutartiger Gewitterregen mit anschliessender Sturzflut in Lugano,Lugano,46.0050102,8.9520281
Sturzflut 1,26.04.2006,Sturzflut im Raum Koblenz (AG),Koblenz,47.6088321,8.2386953
Hochwasser,10.04.2006,Starkniederschläge und Hochwasser im zentralen Mittelland,zentrales Mittelland,47.24430628,7.699401874
Hochwasser,24.08.2005,Jahrhunderthochwasser nördliche Voralpen,nördliche Voralpen,47.08331099,8.701207455
Hochwasser,01.06.2004,Stauniederschläge und Hochwasser an den nördlichen Voralpen,nördliche Voralpen,47.08331099,8.701207455
Sturzflut 3,29.08.2003,"Sturzflut in Locarno Monti,",Locarno Monti,46.17180687,8.790695956
Sturzflut 1,29.08.2003,Sturzflut im Bleniotal (TI),Bleniotal,46.48924194,8.91778017
Sturzflut 3,15.06.2003,Heftiger Gewitterregen im östlichen Teil des Kantons Obwalden,Obwalden,46.8613857,8.2067825
Hochwasser,12.06.2003,Sturzflut am Aettenberg (Gemeinde Plaffeien) und Hochwasser an der Sense,Plaffeien,46.741454,7.2865098
Sturzflut 3,07.06.2003,Heftiger Gewitterregen im Kanton Luzern,Luzern,47.0505452,8.3054682
Sturzflut 2,06.06.2003,Heftiger Gewitterregen und Murgänge in der Zentralschweiz und der Region um Bern,Bern,46.9484742,7.4521749
Hochwasser,05.06.2003,Überschwemmungen nach stationärem Gewitter in Hergiswil bei Willisau (LU),Hergiswil,46.9840938,8.3104542
Hochwasser,02.06.2003,Überschwemmungen und Erdrutsche nach heftigem und blitzreichem Morgengewitter in Entlebuch (LU),Entlebuch,46.9922358,8.0645622
Sturzflut 3,28.05.2003,Starker Gewitterregen in der Region um Liestal (BL),Liestal,47.4839723,7.7347783
Sturzflut 1,16.11.2002,Schlammlawine in Schlans (GR),Schlans,46.7530958,9.015136
Sturzflut 1,01.09.2002,Heftiger Gewitterregen an den zentralen und östlichen Voralpen,östliche Voralpen,47.10487133,9.238975791
Sturzflut 2,26.08.2002,Sturzflut nach heftigem Gewitter bei Hünibach (BE),Hünibach,46.747135,7.6484293
Sturzflut 1,17.07.2002,Grosse Regenmengen in der Zentralschweiz,Zentralschweiz,47.057374,8.3108063
Sturzflut 2,16.07.2002,Sturzflut nach heftigem Gewitter im Napfgebiet,Napf,47.0040019,7.9399419
Sturzflut 1,04.05.2002,Starkniederschläge in der Zentralschweiz und im Nordtessin,Nordtessin,46.42453794,8.817567892
Sturzflut 1,24.05.2001,Starkregen in Döttingen (AG),Döttingen,47.5739904,8.2569004
Sturzflut 3,14.10.2000,Verheerende Sturzflut und Schlammlawine in Gondo (VS),Gondo,46.1958512,8.1399499
Sturzflut 3,12.09.1994,Sturzflut bei Lugano (TI),Lugano,46.0050102,8.9520281
Hochwasser,10.08.1994,Starker Gewitterregen im Tessin,Tessin,46.3351913,8.7525902
Sturzflut 3,06.08.1994,Sturzflut in Wädenswil (ZH),Wädenswil,47.2278988,8.6701365
Sturzflut 2,06.08.1994,Sturzflut im Wiggertal (LU),Wiggetal,47.16737785,7.994569632
Sturzflut 2,18.07.1994,Sturzflut von Wangen (SO) bis Niederbuchsiten (SO),Wangen,47.4107645,8.6458518
Sturzflut 1,18.07.1994,Sturzflut bei Bönigen (BE),Bönigen,46.6887343,7.8949281
Sturzflut 1,14.07.1994,Sturzflut bei Lausanne (VD),Lausanne,46.5218269,6.6327025
Sturzflut 2,06.07.1994,Sturzflut bei Heimberg (BE),Heimberg,46.7871081,7.605935
Sturzflut 2,06.07.1994,Sturzflut von Mogelsberg (SG) bis Flawil (SG),Mogelsberg,47.3607886,9.1358183
Sturzflut 1,04.07.1994,Sturzflut in Sennwald (SG),Sennwald,47.2615026,9.5037691
Sturzflut 1,24.06.1994,Sturzflut bei St. Stephan (BE),St.Stephan,46.49248095,7.397631333
Hochwasser,19.05.1994,Starkregen mit Hochwasser in der Nordschweiz,Nordschweiz,47.54701628,8.565424721
Sturzflut 2,25.04.1994,Sturzflut am Bachtel (ZH),Bachtel,47.2941899,8.885733
Hochwasser,14.10.1993,Hochwasser am Lago Maggiore (TI) und in Biasca (TI),Lago Maggiore,46.1388076,8.771122034
Hochwasser,24.09.1993,Starkregen mit Hochwasser der Saltina in Brig (VS),Brig,46.2845584,8.02942282
Sturzflut 3,22.09.1993,Rekordregen >100 mm innert 1 Stunde bei Camedo (TI),Camedo,46.1555267,8.6088308
Sturzflut 3,16.07.1993,Sturzflut bei Spreitenbach (AG) und Remetschwil (AG),Spreitenbach,47.4182444,8.3640342
Hochwasser,05.07.1993,Starker Gewitterregen mit Hochwasser (Innerschweiz bis Bodensee),Innerschweiz,47.00731182,8.681007863
Sturzflut 3,23.06.1993,Sturzflut in Horgen (ZH),Horgen,47.260692,8.5976831
Sturzflut 2,23.06.1993,Sturzflut bei Kriens (LU),Kriens,47.034146,8.2807994
Sturzflut 2,20.05.1993,Sturzflut bei Hüswil (LU),Hüswil,47.1285354,7.9058914
Hochwasser,31.08.1992,Starkregen mit Hochwasser im Tessin,Tessin,46.3351913,8.7525902
Hochwasser,22.12.1991,Starkregen durch Nordweststau an Alpen und Jura,Jurasüdfuss,47.26171797,7.629470457
Hochwasser,29.09.1991,Starker Gewitterregen im Tessin und Graubünden,Graubünden,46.6960615,9.6027351
Sturzflut 2,26.07.1991,Sturzflut bei Binningen (BL),Binningen,47.53656,7.570077
Hochwasser,11.05.1991,Starkregen in der Nordostschweiz,Ostschweiz,47.39133471,9.324529119
Sturzflut 2,29.07.1990,Sturzflut bei Oberiberg (SZ),Oberiberg,47.0391767,8.7834161
Sturzflut 3,29.07.1990,Sturzflut bei Moléson-Village (FR),Moleson-Village,46.5642031,7.0371126
Sturzflut 3,29.07.1990,Starker Gewitterregen und Sturzflut im Gantrisch-Gebiet (BE),Gantrisch,46.7046865,7.450763
Hochwasser,05.06.1990,Starker Gewitterregen im Tessin,Tessin,46.3351913,8.7525902
Hochwasser,14.02.1990,Starkregen mit Hochwasser durch Weststurm in den Voralpen,Voralpen,46.223644,8.027146
Hochwasser,27.08.1989,Starkregen im Kanton Schwyz,Schwyz,47.0571976,8.7222073
Sturzflut 2,17.08.1989,Sturzflut im Eigergebiet bei Grindelwald (BE),Eigergebiet,46.58573825,8.007656575
Sturzflut 2,10.07.1989,Sturzfluten im Entlebuch (LU),Entlebuch,46.9922358,8.0645622
